Date,Close
1992-03-13,2.530823230743408
1992-03-16,2.530823230743408
1992-03-17,2.530823230743408
1992-03-18,2.530823230743408
1992-03-19,2.530823230743408
1992-03-20,2.343355178833008
1992-03-23,2.437089443206787
1992-03-24,2.2496204376220703
1992-03-25,2.1558868885040283
1992-03-26,2.1558868885040283
1992-03-27,2.437089443206787
1992-03-30,2.437089443206787
1992-03-31,2.530823230743408
1992-04-01,2.4839565753936768
1992-04-02,2.437089443206787
1992-04-03,2.2964887619018555
1992-04-06,2.437089443206787
1992-04-07,2.3902220726013184
1992-04-08,2.3902220726013184
1992-04-09,2.437089443206787
1992-04-10,2.7651591300964355
1992-04-13,2.7651591300964355
1992-04-14,2.7651591300964355
1992-04-15,2.9526278972625732
1992-04-16,2.8120269775390625
1992-04-20,2.624558448791504
1992-04-21,2.624558448791504
1992-04-22,2.437089443206787
1992-04-23,2.4839565753936768
1992-04-24,2.4839565753936768
1992-04-27,2.4839565753936768
1992-04-28,2.343355178833008
1992-04-29,2.2964887619018555
1992-04-30,2.2964887619018555
1992-05-01,2.2964887619018555
1992-05-04,2.2964887619018555
1992-05-05,2.2496204376220703
1992-05-06,2.343355178833008
1992-05-07,2.343355178833008
1992-05-08,2.3902220726013184
1992-05-11,2.437089443206787
1992-05-12,2.437089443206787
1992-05-13,2.202754259109497
1992-05-14,2.0621533393859863
1992-05-15,2.0621533393859863
1992-05-18,2.0152857303619385
1992-05-19,2.0152857303619385
1992-05-20,2.0152857303619385
1992-05-21,2.109018564224243
1992-05-22,2.109018564224243
1992-05-26,2.109018564224243
1992-05-27,2.109018564224243
1992-05-28,2.109018564224243
1992-05-29,2.1558868885040283
1992-06-01,2.2496204376220703
1992-06-02,2.624558448791504
1992-06-03,2.530823230743408
1992-06-04,2.530823230743408
1992-06-05,2.437089443206787
1992-06-08,2.343355178833008
1992-06-09,2.437089443206787
1992-06-10,2.437089443206787
1992-06-11,2.4839565753936768
1992-06-12,2.4839565753936768
1992-06-15,2.3902220726013184
1992-06-16,2.343355178833008
1992-06-17,2.343355178833008
1992-06-18,2.343355178833008
1992-06-19,2.2496204376220703
1992-06-22,2.2964887619018555
1992-06-23,2.0621533393859863
1992-06-24,2.2496204376220703
1992-06-25,2.1558868885040283
1992-06-26,2.3902220726013184
1992-06-29,2.109018564224243
1992-06-30,2.109018564224243
1992-07-01,2.1558868885040283
1992-07-02,2.2964887619018555
1992-07-06,2.2964887619018555
1992-07-07,2.1558868885040283
1992-07-08,2.2964887619018555
1992-07-09,2.1558868885040283
1992-07-10,2.1558868885040283
1992-07-13,2.109018564224243
1992-07-14,2.202754259109497
1992-07-15,2.109018564224243
1992-07-16,2.343355178833008
1992-07-17,2.2496204376220703
1992-07-20,2.109018564224243
1992-07-21,2.2496204376220703
1992-07-22,2.1558868885040283
1992-07-23,2.1558868885040283
1992-07-24,2.1558868885040283
1992-07-27,2.109018564224243
1992-07-28,2.0621533393859863
1992-07-29,2.0152857303619385
1992-07-30,2.0152857303619385
1992-07-31,2.0621533393859863
1992-08-03,2.0621533393859863
1992-08-04,2.0621533393859863
1992-08-05,2.0152857303619385
1992-08-06,1.7809497117996216
1992-08-07,1.7809497117996216
1992-08-10,1.9684175252914429
1992-08-11,2.0621533393859863
1992-08-12,2.343355178833008
1992-08-13,2.202754259109497
1992-08-14,2.437089443206787
1992-08-17,2.437089443206787
1992-08-18,2.343355178833008
1992-08-19,2.530823230743408
1992-08-20,2.530823230743408
1992-08-21,2.343355178833008
1992-08-24,2.343355178833008
1992-08-25,2.343355178833008
1992-08-26,2.343355178833008
1992-08-27,2.2964887619018555
1992-08-28,2.202754259109497
1992-08-31,2.1558868885040283
1992-09-01,2.109018564224243
1992-09-02,2.2496204376220703
1992-09-03,2.437089443206787
1992-09-04,2.2496204376220703
1992-09-08,2.2496204376220703
1992-09-09,2.2964887619018555
1992-09-10,2.2964887619018555
1992-09-11,2.437089443206787
1992-09-14,2.437089443206787
1992-09-15,2.2496204376220703
1992-09-16,2.2496204376220703
1992-09-17,2.2496204376220703
1992-09-18,2.2964887619018555
1992-09-21,2.437089443206787
1992-09-22,2.2496204376220703
1992-09-23,2.2964887619018555
1992-09-24,2.2964887619018555
1992-09-25,2.1558868885040283
1992-09-28,2.1558868885040283
1992-09-29,2.109018564224243
1992-09-30,2.109018564224243
1992-10-01,2.1558868885040283
1992-10-02,2.343355178833008
1992-10-05,2.2496204376220703
1992-10-06,2.1558868885040283
1992-10-07,2.109018564224243
1992-10-08,2.2496204376220703
1992-10-09,2.0621533393859863
1992-10-12,1.9684175252914429
1992-10-13,1.9684175252914429
1992-10-14,2.1558868885040283
1992-10-15,1.9684175252914429
1992-10-16,1.9684175252914429
1992-10-19,1.9684175252914429
1992-10-20,1.9684175252914429
1992-10-21,1.9684175252914429
1992-10-22,1.9684175252914429
1992-10-23,2.2496204376220703
1992-10-26,2.2496204376220703
1992-10-27,2.0621533393859863
1992-10-28,2.0621533393859863
1992-10-29,2.0621533393859863
1992-10-30,2.0621533393859863
1992-11-02,2.0621533393859863
1992-11-03,2.1558868885040283
1992-11-04,1.9684175252914429
1992-11-05,1.9684175252914429
1992-11-06,2.1558868885040283
1992-11-09,1.9684175252914429
1992-11-10,2.0621533393859863
1992-11-11,2.0621533393859863
1992-11-12,2.0152857303619385
1992-11-13,2.0152857303619385
1992-11-16,1.92155122756958
1992-11-17,2.0152857303619385
1992-11-18,2.0152857303619385
1992-11-19,2.2496204376220703
1992-11-20,2.530823230743408
1992-11-23,2.343355178833008
1992-11-24,2.2496204376220703
1992-11-25,2.2964887619018555
1992-11-27,2.2964887619018555
1992-11-30,2.4839565753936768
1992-12-01,2.343355178833008
1992-12-02,2.343355178833008
1992-12-03,2.343355178833008
1992-12-04,2.343355178833008
1992-12-07,2.343355178833008
1992-12-08,2.4839565753936768
1992-12-09,2.4839565753936768
1992-12-10,2.2496204376220703
1992-12-11,2.2496204376220703
1992-12-14,2.2496204376220703
1992-12-15,2.2496204376220703
1992-12-16,2.2496204376220703
1992-12-17,2.1558868885040283
1992-12-18,2.1558868885040283
1992-12-21,2.343355178833008
1992-12-22,2.2964887619018555
1992-12-23,2.2964887619018555
1992-12-24,2.2964887619018555
1992-12-28,2.202754259109497
1992-12-29,2.202754259109497
1992-12-30,2.2496204376220703
1992-12-31,2.2964887619018555
1993-01-04,2.2964887619018555
1993-01-05,2.2964887619018555
1993-01-06,2.2964887619018555
1993-01-07,2.1558868885040283
1993-01-08,2.1558868885040283
1993-01-11,2.2496204376220703
1993-01-12,2.0621533393859863
1993-01-13,2.1558868885040283
1993-01-14,2.0621533393859863
1993-01-15,2.2496204376220703
1993-01-18,2.2496204376220703
1993-01-19,2.109018564224243
1993-01-20,2.109018564224243
1993-01-21,2.109018564224243
1993-01-22,2.2496204376220703
1993-01-25,2.1558868885040283
1993-01-26,2.2496204376220703
1993-01-27,2.343355178833008
1993-01-28,2.343355178833008
1993-01-29,2.343355178833008
1993-02-01,2.202754259109497
1993-02-02,2.202754259109497
1993-02-03,2.2964887619018555
1993-02-04,2.109018564224243
1993-02-05,2.0621533393859863
1993-02-08,2.0621533393859863
1993-02-09,2.0621533393859863
1993-02-10,1.9684175252914429
1993-02-11,2.109018564224243
1993-02-12,1.8746838569641113
1993-02-16,1.8746838569641113
1993-02-17,2.1558868885040283
1993-02-18,1.8746838569641113
1993-02-19,1.8746838569641113
1993-02-22,1.8746838569641113
1993-02-23,1.92155122756958
1993-02-24,2.1558868885040283
1993-02-25,1.92155122756958
1993-02-26,1.92155122756958
1993-03-01,1.92155122756958
1993-03-02,1.92155122756958
1993-03-03,1.9684175252914429
1993-03-04,2.0621533393859863
1993-03-05,2.109018564224243
1993-03-08,2.343355178833008
1993-03-09,2.0621533393859863
1993-03-10,2.0621533393859863
1993-03-11,2.0621533393859863
1993-03-12,2.2496204376220703
1993-03-15,2.2496204376220703
1993-03-16,2.1558868885040283
1993-03-17,2.0621533393859863
1993-03-18,2.0621533393859863
1993-03-19,2.202754259109497
1993-03-22,2.1558868885040283
1993-03-23,2.0621533393859863
1993-03-24,2.0621533393859863
1993-03-25,2.0621533393859863
1993-03-26,2.1558868885040283
1993-03-29,2.1558868885040283
1993-03-30,1.9684175252914429
1993-03-31,1.9684175252914429
1993-04-01,2.0152857303619385
1993-04-02,1.9684175252914429
1993-04-05,1.9684175252914429
1993-04-06,1.9684175252914429
1993-04-07,2.0621533393859863
1993-04-08,1.8746838569641113
1993-04-12,1.9684175252914429
1993-04-13,1.9684175252914429
1993-04-14,1.92155122756958
1993-04-15,1.9684175252914429
1993-04-16,1.8746838569641113
1993-04-19,1.8746838569641113
1993-04-20,1.6872155666351318
1993-04-21,1.7809497117996216
1993-04-22,1.8746838569641113
1993-04-23,1.6872155666351318
1993-04-26,1.8746838569641113
1993-04-27,1.8746838569641113
1993-04-28,1.8746838569641113
1993-04-29,1.8746838569641113
1993-04-30,1.8746838569641113
1993-05-03,1.7809497117996216
1993-05-04,1.7809497117996216
1993-05-05,1.7809497117996216
1993-05-06,1.7809497117996216
1993-05-07,1.7809497117996216
1993-05-10,1.7809497117996216
1993-05-11,1.7809497117996216
1993-05-12,1.8746838569641113
1993-05-13,1.6872155666351318
1993-05-14,1.6872155666351318
1993-05-17,1.7809497117996216
1993-05-18,1.4997477531433105
1993-05-19,1.6872155666351318
1993-05-20,1.6872155666351318
1993-05-21,1.6872155666351318
1993-05-24,1.9684175252914429
1993-05-25,1.9684175252914429
1993-05-26,2.0621533393859863
1993-05-27,2.0621533393859863
1993-05-28,2.1558868885040283
1993-06-01,1.9684175252914429
1993-06-02,1.9684175252914429
1993-06-03,1.9684175252914429
1993-06-04,1.9684175252914429
1993-06-07,2.0621533393859863
1993-06-08,2.0621533393859863
1993-06-09,1.8746838569641113
1993-06-10,1.92155122756958
1993-06-11,1.92155122756958
1993-06-14,1.9684175252914429
1993-06-15,1.9684175252914429
1993-06-16,2.0621533393859863
1993-06-17,2.0621533393859863
1993-06-18,2.0152857303619385
1993-06-21,1.9684175252914429
1993-06-22,2.0621533393859863
1993-06-23,1.8746838569641113
1993-06-24,2.0621533393859863
1993-06-25,2.0621533393859863
1993-06-28,1.8746838569641113
1993-06-29,1.8746838569641113
1993-06-30,2.0621533393859863
1993-07-01,2.0621533393859863
1993-07-02,1.8746838569641113
1993-07-06,1.8746838569641113
1993-07-07,1.8746838569641113
1993-07-08,1.8746838569641113
1993-07-09,2.0621533393859863
1993-07-12,2.1558868885040283
1993-07-13,1.9684175252914429
1993-07-14,1.9684175252914429
1993-07-15,2.0621533393859863
1993-07-16,2.1558868885040283
1993-07-19,2.1558868885040283
1993-07-20,1.9684175252914429
1993-07-21,1.9684175252914429
1993-07-22,1.9684175252914429
1993-07-23,1.9684175252914429
1993-07-26,1.8746838569641113
1993-07-27,1.8746838569641113
1993-07-28,1.8746838569641113
1993-07-29,1.9684175252914429
1993-07-30,1.9684175252914429
1993-08-02,1.9684175252914429
1993-08-03,1.9684175252914429
1993-08-04,1.8746838569641113
1993-08-05,1.7809497117996216
1993-08-06,1.9684175252914429
1993-08-09,1.7809497117996216
1993-08-10,1.8278170824050903
1993-08-11,1.7809497117996216
1993-08-12,1.7809497117996216
1993-08-13,1.9684175252914429
1993-08-16,1.7340832948684692
1993-08-17,1.7340832948684692
1993-08-18,1.7340832948684692
1993-08-19,1.8746838569641113
1993-08-20,1.7340832948684692
1993-08-23,1.7340832948684692
1993-08-24,1.7809497117996216
1993-08-25,1.6872155666351318
1993-08-26,1.7809497117996216
1993-08-27,1.7809497117996216
1993-08-30,1.6872155666351318
1993-08-31,1.8278170824050903
1993-09-01,1.8278170824050903
1993-09-02,1.6872155666351318
1993-09-03,1.8746838569641113
1993-09-07,1.8746838569641113
1993-09-08,1.8746838569641113
1993-09-09,1.7809497117996216
1993-09-10,1.6872155666351318
1993-09-13,1.7809497117996216
1993-09-14,1.7809497117996216
1993-09-15,1.6872155666351318
1993-09-16,1.6403487920761108
1993-09-17,1.6403487920761108
1993-09-20,1.6872155666351318
1993-09-21,1.6872155666351318
1993-09-22,1.8278170824050903
1993-09-23,1.8278170824050903
1993-09-24,1.7809497117996216
1993-09-27,1.8746838569641113
1993-09-28,1.6872155666351318
1993-09-29,1.6872155666351318
1993-09-30,1.7809497117996216
1993-10-01,1.6403487920761108
1993-10-04,1.7809497117996216
1993-10-05,1.8746838569641113
1993-10-06,1.9684175252914429
1993-10-07,2.2496204376220703
1993-10-08,2.2964887619018555
1993-10-11,2.343355178833008
1993-10-12,2.530823230743408
1993-10-13,2.530823230743408
1993-10-14,2.5776915550231934
1993-10-15,2.530823230743408
1993-10-18,2.437089443206787
1993-10-19,2.530823230743408
1993-10-20,2.343355178833008
1993-10-21,2.437089443206787
1993-10-22,2.530823230743408
1993-10-25,2.530823230743408
1993-10-26,2.530823230743408
1993-10-27,2.343355178833008
1993-10-28,2.343355178833008
1993-10-29,2.530823230743408
1993-11-01,2.2496204376220703
1993-11-02,2.437089443206787
1993-11-03,2.437089443206787
1993-11-04,2.530823230743408
1993-11-05,2.437089443206787
1993-11-08,2.343355178833008
1993-11-09,2.2496204376220703
1993-11-10,2.343355178833008
1993-11-11,2.2496204376220703
1993-11-12,2.1558868885040283
1993-11-15,2.343355178833008
1993-11-16,2.343355178833008
1993-11-17,2.2964887619018555
1993-11-18,2.1558868885040283
1993-11-19,2.2496204376220703
1993-11-22,2.2496204376220703
1993-11-23,2.0621533393859863
1993-11-24,2.1558868885040283
1993-11-26,2.1558868885040283
1993-11-29,2.2964887619018555
1993-11-30,2.2964887619018555
1993-12-01,2.1558868885040283
1993-12-02,2.1558868885040283
1993-12-03,2.1558868885040283
1993-12-06,2.2496204376220703
1993-12-07,2.1558868885040283
1993-12-08,2.2496204376220703
1993-12-09,2.2964887619018555
1993-12-10,2.0621533393859863
1993-12-13,2.2496204376220703
1993-12-14,2.0621533393859863
1993-12-15,2.1558868885040283
1993-12-16,2.109018564224243
1993-12-17,2.0621533393859863
1993-12-20,1.9684175252914429
1993-12-21,1.9684175252914429
1993-12-22,1.9684175252914429
1993-12-23,1.9684175252914429
1993-12-27,1.9684175252914429
1993-12-28,2.0152857303619385
1993-12-29,1.9684175252914429
1993-12-30,2.1558868885040283
1993-12-31,2.2496204376220703
1994-01-03,2.109018564224243
1994-01-04,2.2496204376220703
1994-01-05,2.1558868885040283
1994-01-06,2.1558868885040283
1994-01-07,2.1558868885040283
1994-01-10,2.1558868885040283
1994-01-11,2.0621533393859863
1994-01-12,2.0621533393859863
1994-01-13,2.0621533393859863
1994-01-14,1.9684175252914429
1994-01-17,2.1558868885040283
1994-01-18,2.1558868885040283
1994-01-19,2.1558868885040283
1994-01-20,2.1558868885040283
1994-01-21,2.2964887619018555
1994-01-24,2.2496204376220703
1994-01-25,2.2964887619018555
1994-01-26,2.202754259109497
1994-01-27,2.2964887619018555
1994-01-28,2.2496204376220703
1994-01-31,2.2964887619018555
1994-02-01,2.202754259109497
1994-02-02,2.1558868885040283
1994-02-03,2.2496204376220703
1994-02-04,2.1558868885040283
1994-02-07,2.2496204376220703
1994-02-08,2.2496204376220703
1994-02-09,2.202754259109497
1994-02-10,2.1558868885040283
1994-02-11,2.202754259109497
1994-02-14,2.343355178833008
1994-02-15,2.1558868885040283
1994-02-16,2.2496204376220703
1994-02-17,2.2496204376220703
1994-02-18,2.2496204376220703
1994-02-22,2.1558868885040283
1994-02-23,2.2496204376220703
1994-02-24,2.1558868885040283
1994-02-25,2.1558868885040283
1994-02-28,2.2964887619018555
1994-03-01,2.2964887619018555
1994-03-02,2.2496204376220703
1994-03-03,2.2496204376220703
1994-03-04,2.2496204376220703
1994-03-07,2.1558868885040283
1994-03-08,2.1558868885040283
1994-03-09,2.202754259109497
1994-03-10,2.202754259109497
1994-03-11,2.2496204376220703
1994-03-14,2.1558868885040283
1994-03-15,2.2964887619018555
1994-03-16,2.343355178833008
1994-03-17,2.2496204376220703
1994-03-18,2.343355178833008
1994-03-21,2.2496204376220703
1994-03-22,2.2496204376220703
1994-03-23,2.1558868885040283
1994-03-24,2.1558868885040283
1994-03-25,2.343355178833008
1994-03-28,2.1558868885040283
1994-03-29,2.0621533393859863
1994-03-30,2.0621533393859863
1994-03-31,2.2496204376220703
1994-04-04,2.0621533393859863
1994-04-05,2.1558868885040283
1994-04-06,2.0621533393859863
1994-04-07,2.1558868885040283
1994-04-08,2.0621533393859863
1994-04-11,1.9684175252914429
1994-04-12,2.0621533393859863
1994-04-13,2.0621533393859863
1994-04-14,1.9684175252914429
1994-04-15,1.9684175252914429
1994-04-18,2.0621533393859863
1994-04-19,2.0621533393859863
1994-04-20,1.9684175252914429
1994-04-21,2.1558868885040283
1994-04-22,1.9684175252914429
1994-04-25,2.0621533393859863
1994-04-26,1.9684175252914429
1994-04-28,2.0621533393859863
1994-04-29,1.944985270500183
1994-05-02,1.8746838569641113
1994-05-03,1.8746838569641113
1994-05-04,1.7809497117996216
1994-05-05,1.8746838569641113
1994-05-06,1.8746838569641113
1994-05-09,1.7809497117996216
1994-05-10,1.7809497117996216
1994-05-11,1.6872155666351318
1994-05-12,1.8278170824050903
1994-05-13,1.7809497117996216
1994-05-16,1.8512505292892456
1994-05-17,1.7809497117996216
1994-05-18,1.8278170824050903
1994-05-19,1.710648775100708
1994-05-20,1.8746838569641113
1994-05-23,1.8746838569641113
1994-05-24,1.8746838569641113
1994-05-25,1.92155122756958
1994-05-26,1.8746838569641113
1994-05-27,1.9684175252914429
1994-05-31,1.8746838569641113
1994-06-01,1.8746838569641113
1994-06-02,1.8746838569641113
1994-06-03,1.92155122756958
1994-06-06,2.0152857303619385
1994-06-07,2.0152857303619385
1994-06-08,1.8746838569641113
1994-06-09,2.1558868885040283
1994-06-10,1.9684175252914429
1994-06-13,2.0152857303619385
1994-06-14,2.0621533393859863
1994-06-15,2.109018564224243
1994-06-16,2.2964887619018555
1994-06-17,2.2496204376220703
1994-06-20,2.1558868885040283
1994-06-21,2.202754259109497
1994-06-22,2.202754259109497
1994-06-23,2.343355178833008
1994-06-24,2.109018564224243
1994-06-27,2.343355178833008
1994-06-28,2.1558868885040283
1994-06-29,1.9684175252914429
1994-06-30,2.2496204376220703
1994-07-01,2.2496204376220703
1994-07-05,2.2964887619018555
1994-07-06,2.2964887619018555
1994-07-07,1.9684175252914429
1994-07-08,1.9684175252914429
1994-07-11,1.9684175252914429
1994-07-12,2.2964887619018555
1994-07-13,1.9684175252914429
1994-07-14,2.1558868885040283
1994-07-15,2.2964887619018555
1994-07-18,2.2496204376220703
1994-07-19,2.2964887619018555
1994-07-20,2.1558868885040283
1994-07-21,2.1558868885040283
1994-07-22,2.2964887619018555
1994-07-25,2.2964887619018555
1994-07-26,1.9684175252914429
1994-07-27,2.1558868885040283
1994-07-28,1.9684175252914429
1994-07-29,1.9684175252914429
1994-08-01,2.2496204376220703
1994-08-02,1.9684175252914429
1994-08-03,2.0152857303619385
1994-08-04,2.1558868885040283
1994-08-05,2.1558868885040283
1994-08-08,2.0621533393859863
1994-08-09,2.202754259109497
1994-08-10,2.2496204376220703
1994-08-11,2.202754259109497
1994-08-12,2.0621533393859863
1994-08-15,2.109018564224243
1994-08-16,2.0621533393859863
1994-08-17,2.0621533393859863
1994-08-18,2.0621533393859863
1994-08-19,2.0152857303619385
1994-08-22,2.0621533393859863
1994-08-23,1.8746838569641113
1994-08-24,1.9684175252914429
1994-08-25,1.9684175252914429
1994-08-26,1.8278170824050903
1994-08-29,1.8278170824050903
1994-08-30,1.8278170824050903
1994-08-31,1.9684175252914429
1994-09-01,1.9684175252914429
1994-09-02,1.8278170824050903
1994-09-06,1.9684175252914429
1994-09-07,1.8746838569641113
1994-09-08,1.9684175252914429
1994-09-09,1.9684175252914429
1994-09-12,1.8278170824050903
1994-09-13,1.9684175252914429
1994-09-14,2.0621533393859863
1994-09-15,1.92155122756958
1994-09-16,1.9684175252914429
1994-09-19,2.0621533393859863
1994-09-20,2.0621533393859863
1994-09-21,1.92155122756958
1994-09-22,1.9684175252914429
1994-09-23,1.92155122756958
1994-09-26,1.92155122756958
1994-09-27,2.0621533393859863
1994-09-28,2.0621533393859863
1994-09-29,1.9684175252914429
1994-09-30,2.0621533393859863
1994-10-03,2.109018564224243
1994-10-04,2.0152857303619385
1994-10-05,2.109018564224243
1994-10-06,2.1558868885040283
1994-10-07,2.0152857303619385
1994-10-10,2.1558868885040283
1994-10-11,2.0152857303619385
1994-10-12,2.0152857303619385
1994-10-13,2.0152857303619385
1994-10-14,1.92155122756958
1994-10-17,2.1558868885040283
1994-10-18,2.1558868885040283
1994-10-19,1.9684175252914429
1994-10-20,2.0152857303619385
1994-10-21,1.9684175252914429
1994-10-24,1.9684175252914429
1994-10-25,1.8746838569641113
1994-10-26,1.8746838569641113
1994-10-27,1.8746838569641113
1994-10-28,1.8746838569641113
1994-10-31,1.8746838569641113
1994-11-01,1.8746838569641113
1994-11-02,1.8746838569641113
1994-11-03,1.8746838569641113
1994-11-04,1.9684175252914429
1994-11-07,1.8746838569641113
1994-11-08,1.9684175252914429
1994-11-09,1.92155122756958
1994-11-10,1.92155122756958
1994-11-11,1.8746838569641113
1994-11-14,1.9684175252914429
1994-11-15,1.9684175252914429
1994-11-16,1.9684175252914429
1994-11-17,1.92155122756958
1994-11-18,1.8746838569641113
1994-11-21,1.8746838569641113
1994-11-22,1.7809497117996216
1994-11-23,1.8746838569641113
1994-11-25,1.7809497117996216
1994-11-28,1.9684175252914429
1994-11-29,1.8278170824050903
1994-11-30,1.8278170824050903
1994-12-01,1.8278170824050903
1994-12-02,1.8278170824050903
1994-12-05,1.8278170824050903
1994-12-06,1.8278170824050903
1994-12-07,1.8278170824050903
1994-12-08,1.92155122756958
1994-12-09,1.92155122756958
1994-12-12,1.8278170824050903
1994-12-13,1.8746838569641113
1994-12-14,1.8278170824050903
1994-12-15,1.8746838569641113
1994-12-16,1.8746838569641113
1994-12-19,1.8278170824050903
1994-12-20,1.8278170824050903
1994-12-21,1.8746838569641113
1994-12-22,1.8278170824050903
1994-12-23,1.8278170824050903
1994-12-27,1.8746838569641113
1994-12-28,1.92155122756958
1994-12-29,1.8746838569641113
1994-12-30,1.7809497117996216
1995-01-03,1.7809497117996216
1995-01-04,1.7340832948684692
1995-01-05,1.7809497117996216
1995-01-06,1.6872155666351318
1995-01-09,1.7340832948684692
1995-01-10,1.7809497117996216
1995-01-11,1.7340832948684692
1995-01-12,1.6872155666351318
1995-01-13,1.6872155666351318
1995-01-16,1.6872155666351318
1995-01-17,1.8278170824050903
1995-01-18,1.6872155666351318
1995-01-19,1.6872155666351318
1995-01-20,1.7340832948684692
1995-01-23,1.6872155666351318
1995-01-24,1.710648775100708
1995-01-25,1.710648775100708
1995-01-26,1.7340832948684692
1995-01-27,1.8746838569641113
1995-01-30,1.8043838739395142
1995-01-31,1.8746838569641113
1995-02-01,1.7340832948684692
1995-02-02,1.7340832948684692
1995-02-03,1.7809497117996216
1995-02-06,1.8278170824050903
1995-02-07,1.7809497117996216
1995-02-08,1.8746838569641113
1995-02-09,1.7340832948684692
1995-02-10,1.8278170824050903
1995-02-13,1.8278170824050903
1995-02-14,1.8278170824050903
1995-02-15,1.8746838569641113
1995-02-16,1.9098339080810547
1995-02-17,1.9098339080810547
1995-02-21,1.8746838569641113
1995-02-22,1.8278170824050903
1995-02-23,1.92155122756958
1995-02-24,1.8278170824050903
1995-02-27,1.9098339080810547
1995-02-28,1.8278170824050903
1995-03-01,1.8278170824050903
1995-03-02,1.8278170824050903
1995-03-03,1.8278170824050903
1995-03-06,1.8278170824050903
1995-03-07,1.8278170824050903
1995-03-08,1.8629674911499023
1995-03-09,1.8746838569641113
1995-03-10,1.7809497117996216
1995-03-13,1.7809497117996216
1995-03-14,1.8278170824050903
1995-03-15,1.7809497117996216
1995-03-16,1.8746838569641113
1995-03-17,1.92155122756958
1995-03-20,1.9684175252914429
1995-03-21,1.9684175252914429
1995-03-22,1.8278170824050903
1995-03-23,1.8278170824050903
1995-03-24,1.8746838569641113
1995-03-27,1.9684175252914429
1995-03-28,2.0621533393859863
1995-03-29,2.0152857303619385
1995-03-30,1.9684175252914429
1995-03-31,1.9684175252914429
1995-04-03,2.0152857303619385
1995-04-04,2.0621533393859863
1995-04-05,2.109018564224243
1995-04-06,2.109018564224243
1995-04-07,2.109018564224243
1995-04-10,2.109018564224243
1995-04-11,2.109018564224243
1995-04-12,2.1324524879455566
1995-04-13,2.0621533393859863
1995-04-17,2.0855870246887207
1995-04-18,2.1558868885040283
1995-04-19,2.109018564224243
1995-04-20,2.0152857303619385
1995-04-21,2.0152857303619385
1995-04-24,2.0152857303619385
1995-04-25,2.0152857303619385
1995-04-26,2.109018564224243
1995-04-27,1.8746838569641113
1995-04-28,1.9684175252914429
1995-05-01,1.9684175252914429
1995-05-02,1.92155122756958
1995-05-03,1.92155122756958
1995-05-04,1.92155122756958
1995-05-05,1.9684175252914429
1995-05-08,2.0152857303619385
1995-05-09,2.1558868885040283
1995-05-10,2.109018564224243
1995-05-11,2.1558868885040283
1995-05-12,2.2496204376220703
1995-05-15,2.1558868885040283
1995-05-16,2.109018564224243
1995-05-17,2.202754259109497
1995-05-18,2.1558868885040283
1995-05-19,2.109018564224243
1995-05-22,2.109018564224243
1995-05-23,2.109018564224243
1995-05-24,2.109018564224243
1995-05-25,2.1558868885040283
1995-05-26,2.202754259109497
1995-05-30,2.109018564224243
1995-05-31,2.109018564224243
1995-06-01,2.109018564224243
1995-06-02,2.109018564224243
1995-06-05,2.202754259109497
1995-06-06,2.202754259109497
1995-06-07,2.2496204376220703
1995-06-08,2.437089443206787
1995-06-09,2.3902220726013184
1995-06-12,2.624558448791504
1995-06-13,2.8120269775390625
1995-06-14,2.6714251041412354
1995-06-15,2.624558448791504
1995-06-16,2.5776915550231934
1995-06-19,2.5776915550231934
1995-06-20,2.624558448791504
1995-06-21,2.624558448791504
1995-06-22,2.624558448791504
1995-06-23,2.530823230743408
1995-06-26,2.6714251041412354
1995-06-27,2.5776915550231934
1995-06-28,2.6714251041412354
1995-06-29,2.624558448791504
1995-06-30,2.624558448791504
1995-07-03,2.8120269775390625
1995-07-05,2.7182929515838623
1995-07-06,2.624558448791504
1995-07-07,2.7182929515838623
1995-07-10,2.624558448791504
1995-07-11,2.5776915550231934
1995-07-12,2.4839565753936768
1995-07-13,2.4839565753936768
1995-07-14,2.530823230743408
1995-07-17,2.6714251041412354
1995-07-18,2.5776915550231934
1995-07-19,2.624558448791504
1995-07-20,2.530823230743408
1995-07-21,2.6714251041412354
1995-07-24,2.6714251041412354
1995-07-25,2.7182929515838623
1995-07-26,2.624558448791504
1995-07-27,2.624558448791504
1995-07-28,2.624558448791504
1995-07-31,2.624558448791504
1995-08-01,2.858893632888794
1995-08-02,2.7651591300964355
1995-08-03,2.7182929515838623
1995-08-04,2.6714251041412354
1995-08-07,2.8120269775390625
1995-08-08,2.8120269775390625
1995-08-09,2.7182929515838623
1995-08-10,2.7651591300964355
1995-08-11,2.7651591300964355
1995-08-14,2.7651591300964355
1995-08-15,2.7651591300964355
1995-08-16,2.7651591300964355
1995-08-17,2.858893632888794
1995-08-18,2.7651591300964355
1995-08-21,2.7651591300964355
1995-08-22,2.7651591300964355
1995-08-23,2.7651591300964355
1995-08-24,2.7651591300964355
1995-08-25,2.7651591300964355
1995-08-28,2.7651591300964355
1995-08-29,2.6714251041412354
1995-08-30,2.7885918617248535
1995-08-31,2.6714251041412354
1995-09-01,2.6714251041412354
1995-09-05,2.7651591300964355
1995-09-06,2.7182929515838623
1995-09-07,2.999495506286621
1995-09-08,3.186962842941284
1995-09-11,2.999495506286621
1995-09-12,2.999495506286621
1995-09-13,2.8120269775390625
1995-09-14,2.8120269775390625
